,co_volume,cv_volume,sentiment,sentiment_ste
2018-05-31,923,0,-16.084422627264278,1.3362806692228477
2018-06-02,880,0,-21.01730269614971,1.3982559947228639
2018-06-03,798,0,-11.80470998153159,1.534544544189423
2018-06-04,860,0,-23.988544949882158,1.5188479047123704
2018-06-05,1000,0,-27.54433749257279,1.3317991455701421
2018-06-06,3626,0,-19.841271356569408,0.6540879176945809
2018-06-07,894,0,-17.150041817922983,1.4447673264016732
2018-06-08,931,0,-27.33632355979555,1.6834398344409585
2018-06-09,858,0,-21.94540593366869,1.5598852568119306
2018-06-10,972,0,-19.161155202821867,1.3353229507534745
2018-06-11,978,0,-20.752264095822376,1.290883522292565
2018-06-12,1002,0,-20.660519134545112,1.2653730897523665
2018-06-13,915,0,-20.747420681615555,1.3487149871883453
2018-06-14,1049,0,-16.516848556447794,1.18686890103752
2018-06-15,4537,0,-17.24873207739453,0.5374886510825669
2018-06-16,888,0,-16.055592329205258,1.3266299676841222
2018-06-17,722,0,-11.59387613940506,1.531236259831888
2018-06-18,1238,0,-25.738760883370084,0.9923471635845689
2018-06-19,937,0,-24.240772020377285,1.3361340425593968
2018-06-20,899,0,-18.718461072965134,1.3975160643359654
2018-06-21,787,0,-13.085417335734997,1.481570998276932
2018-06-22,932,0,-20.194931658959213,1.3463399568981878
2018-06-23,842,0,-19.21296013268448,1.4712248477605567
2018-06-24,31,0,-6.048387096774194,5.3402687519817125
2018-06-25,905,0,-16.243992808909937,1.280393589212293
2018-06-26,839,0,-16.352625927506597,1.3756388780709092
2018-06-27,838,0,-17.70323061441482,1.473559748919873
2018-06-28,3039,0,-15.856679248061752,0.7373419598709088
2018-06-29,834,0,-13.449370373830805,1.3944537431220438
2018-06-30,797,0,-15.240875644456045,1.5321747145158204
2018-07-01,715,0,-14.420163170163173,1.5787767979101652
2018-07-02,768,0,-10.756570642163862,1.4664102869763689
2018-07-03,99,0,-13.144329896907218,4.321015478073751
2018-07-04,714,0,-15.173069624546418,1.5737491428549804
